variable_name,pseudo_rsquared,coefficient,standard_error,z_value,p_value,odds_ratio
Intercept,0.21901719432326483,-10.101143990991496,0.30131989453081237,-33.522990596820925,2.2290441969796902e-246,4.1032587454663856e-05
black,0.21901719432326483,0.6718281621033108,0.010575454615415342,63.52711883648184,0.0,1.9578132509405861
latino,0.21901719432326483,0.41984742699379834,0.008794471219822976,47.739928473181074,0.0,1.5217293630823767
asian_cb,0.21901719432326483,0.40844651900167206,0.009665006846763797,42.26034450647442,0.0,1.504478789578689
native,0.21901719432326483,0.5180020399539047,0.03464350215506199,14.952357808265525,1.5033086069658486e-50,1.6786703806199101
race_na,0.21901719432326483,0.42020479549068795,0.010270475500568373,40.91385987605283,0.0,1.5222732784008455
no_coapplicant,0.21901719432326483,0.26231172656402646,0.00622692763627399,42.12538540450842,0.0,1.2999317025196149
na_coapplicant,0.21901719432326483,0.3958780333891631,0.1106265676480273,3.5785077834892265,0.0003455615790493532,1.4856881021579198
female,0.21901719432326483,-0.07916094833420996,0.00593365516617285,-13.34100922910018,1.3363798271002435e-40,0.9238912137261961
sex_na,0.21901719432326483,0.2028405529830685,0.01315961822675828,15.41386303826201,1.320748745927861e-53,1.2248771496688085
less_than25,0.21901719432326483,-0.028746498399529426,0.013207085466053993,-2.1765966816385185,0.029510672985973888,0.9716627513108063
between25_34,0.21901719432326483,-0.20800801264496374,0.007347432781673787,-28.310298144378304,2.581124192333539e-176,0.8122005288113896
between45_54,0.21901719432326483,0.14073667766241657,0.008043401109191559,17.49716018782035,1.5059274371687094e-68,1.1511214920704993
between55_64,0.21901719432326483,0.10757116338792733,0.009313009509361484,11.550633904088281,7.32779494969921e-31,1.1135701033481655
older_than65,0.21901719432326483,-0.075589339050279,0.01170508433428045,-6.4578209683549215,1.0622129565327142e-10,0.9271968919439455
age_na,0.21901719432326483,1.6826559326753197,0.23537092375003885,7.148954109821485,8.744155360982639e-13,5.379825467569813
income_log,0.21901719432326483,-0.12368407892202397,0.0061800725133857,-20.01337017553289,4.211872011978134e-89,0.883658963282348
loan_log,0.21901719432326483,0.4680176201436516,0.006719084281843666,69.65497090255744,0.0,1.5968255387345502
property_value_ratio,0.21901719432326483,-0.06202670931263044,0.002130611295027982,-29.112165817095143,2.5183503190163167e-186,0.9398577835004769
less30yrs_mortgage,0.21901719432326483,-0.01700273399911357,0.010909008623444339,-1.5585957061738243,0.11909209996309233,0.9831409967246217
more30yrs_mortgage,0.21901719432326483,0.45949447349108513,0.022666766277075017,20.27172592130242,2.2850097542592995e-91,1.5832733959795193
equifax,0.21901719432326483,-0.03556468147905669,0.006890736291343249,-5.161230959271534,2.453312797939788e-07,0.9650603106829246
experian,0.21901719432326483,0.04728867492102876,0.007302457078815625,6.475721036171902,9.43602414583144e-11,1.0484246192937436
other_model,0.21901719432326483,0.8627195649511787,0.019442222738380196,44.373504848708215,0.0,2.3695962096377454
more_than_one,0.21901719432326483,-0.2460186624055955,0.01784827275629609,-13.783891907344977,3.1862133561818638e-43,0.7819076325119367
model_na,0.21901719432326483,0.27881550244162295,0.011087858493236383,25.146019189521674,1.5622407435051639e-139,1.3215634961372977
dti_manageable,0.21901719432326483,0.011464479434439281,0.007217861469229712,1.5883484995262407,0.11220755615745635,1.0115304484378513
dti_unmanageable,0.21901719432326483,0.3002342041351344,0.007516163761264304,39.9451387265452,0.0,1.3501749871144175
dti_struggling,0.21901719432326483,4.304975779897866,0.010584431293433293,406.72716941993133,0.0,74.06742151061015
combined_loan_to_value_ratio,0.21901719432326483,-0.010619443289101055,0.00021154091942214651,-50.20042135634819,0.0,0.9894367439305675
moderate_lmi,0.21901719432326483,0.08034862686909955,0.009074725107790954,8.854111382406236,8.435312155176864e-19,1.08366479649308
middle_lmi,0.21901719432326483,0.017923131398691537,0.00641379812363238,2.7944645361773532,0.005198574234639339,1.018084714633869
low_lmi,0.21901719432326483,0.1540970277125237,0.01733856717419819,8.887529526767244,6.248261937619412e-19,1.1666040742119335
credit_union,0.21901719432326483,0.042869204193415625,0.010674589254070999,4.0160050352351,5.9192991371813145e-05,1.0438013610808485
independent,0.21901719432326483,-0.3423144567312458,0.006063814865396214,-56.451996693483935,0.0,0.7101248660516906
lender_na,0.21901719432326483,-0.5348897454860179,0.0617374043285314,-8.663949372403778,4.556958189041507e-18,0.5857338663875787
lar_count,0.21901719432326483,-7.509082597045014e-07,1.0006236523581126e-08,-75.04402458755386,0.0,0.9999992490920222
white_cat2,0.21901719432326483,0.12684218682785253,0.006826778516993412,18.580094038808106,4.65688489360326e-77,1.1352378481582353
white_cat3,0.21901719432326483,0.24519978286728253,0.008832827959590506,27.76005419657807,1.317707263189232e-169,1.2778765855528118
white_cat4,0.21901719432326483,0.39500289678322376,0.011086718766328043,35.62847629750511,5.0772582897417017e-278,1.484388490866364
metro_90th,0.21901719432326483,-0.1287120982948583,0.008774796647000866,-14.66838531680968,1.0276142189273757e-48,0.8792270600804648
metro_80th,0.21901719432326483,-0.16718619115902547,0.01031676823665072,-16.20528709417839,4.62721121540863e-59,0.8460420711175397
metro_70th,0.21901719432326483,-0.17025869375145464,0.012019331715887413,-14.16540434826364,1.500010349196369e-45,0.8434465940076351
metro_60th,0.21901719432326483,-0.2182057110531406,0.014481595294018606,-15.067795130503821,2.6376980524094593e-51,0.8039600411880339
metro_50th,0.21901719432326483,-0.22280022314114417,0.01685973848685492,-13.214927581163577,7.195553811863555e-40,0.8002747096935426
metro_40th,0.21901719432326483,-0.2588889322278727,0.019379352158046235,-13.359008604443103,1.0495263534011643e-40,0.7719087524681495
metro_30th,0.21901719432326483,-0.2530811972642641,0.021166535786603862,-11.956665928509532,5.9919753810304934e-33,0.7764048373155003
metro_20th,0.21901719432326483,-0.17263171305274502,0.024061310884136225,-7.174659513940373,7.248736093706048e-13,0.8414474518999853
metro_10th,0.21901719432326483,-0.22902119117999659,0.02682201920412742,-8.538551457928806,1.3591486452823064e-17,0.7953116797335603
metro_less10th,0.21901719432326483,-0.22078554847200163,0.03117573836046755,-7.081966942344151,1.4212256570410213e-12,0.801888628093881
micro_area,0.21901719432326483,0.04897242217375121,0.013962405446993209,3.50744879595925,0.0004524254135584058,1.0501913883450342
metro_none,0.21901719432326483,0.2365770541962561,0.01642884674981737,14.40010110258567,5.166788150050347e-47,1.2669051722189795
